id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,cabang_pelayanan,nama_bank,jumlah_pembayaran,satuan,tahun
50,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KABUPATEN INDRAMAYU II HRGLS,BJB,7959200,RUPIAH,2015
51,32,JAWA BARAT,3213,KABUPATEN SUBANG,KABUPATEN SUBANG,BJB,46794200,RUPIAH,2015
52,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KABUPATEN PURWAKARTA,BJB,126386000,RUPIAH,2015
53,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KABUPATEN KARAWANG,BJB,34841100,RUPIAH,2015
54,32,JAWA BARAT,3216,KABUPATEN BEKASI,KABUPATEN BEKASI CKRG,BJB,1260000,RUPIAH,2015
55,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KABUPATEN BANDUNG BARAT PDLG,BJB,47205000,RUPIAH,2015
56,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KABUPATEN PANGANDARAN,BJB,525000,RUPIAH,2015
57,32,JAWA BARAT,3271,KOTA BOGOR,KOTA BOGOR,BJB,82516000,RUPIAH,2015
58,32,JAWA BARAT,3272,KOTA SUKABUMI,KOTA SUKABUMI,BJB,35796800,RUPIAH,2015
59,32,JAWA BARAT,3273,KOTA BANDUNG,KOTA BANDUNG I PJJRN,BJB,82283000,RUPIAH,2015
60,32,JAWA BARAT,3273,KOTA BANDUNG,KOTA BANDUNG II KWLYN,BJB,123547500,RUPIAH,2015
61,32,JAWA BARAT,3273,KOTA BANDUNG,KOTA BANDUNG III SOETA,BJB,145831800,RUPIAH,2015
62,32,JAWA BARAT,3274,KOTA CIREBON,KOTA CIREBON,BJB,10859000,RUPIAH,2015
63,32,JAWA BARAT,3275,KOTA BEKASI,KOTA BEKASI,BJB,4168500,RUPIAH,2015
64,32,JAWA BARAT,3276,KOTA DEPOK,KOTA DEPOK I,BJB,6770800,RUPIAH,2015
65,32,JAWA BARAT,3276,KOTA DEPOK,KOTA DEPOK II CINERE,BJB,2975000,RUPIAH,2015
66,32,JAWA BARAT,3277,KOTA CIMAHI,KOTA CIMAHI,BJB,51580000,RUPIAH,2015
67,32,JAWA BARAT,3278,KOTA TASIKMALAYA,KOTA TASIKMALAYA,BJB,4191900,RUPIAH,2015
68,32,JAWA BARAT,3279,KOTA BANJAR,KOTA BANJAR,BJB,14822400,RUPIAH,2015
