id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,cabang_pelayanan,jenis_kendaraan,fungsi_kendaraan,jumlah_kendaraan,satuan,tahun
39,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI II P.RATU,ALAT BERAT,UMUM,0,UNIT,2013
40,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI I CBDK,"SEPEDA MOTOR, SCOOTER",PRIBADI,37921,UNIT,2013
41,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI I CBDK,"SEPEDA MOTOR, SCOOTER",DINAS,3,UNIT,2013
42,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI I CBDK,"SEPEDA MOTOR, SCOOTER",UMUM,0,UNIT,2013
43,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI II P.RATU,"SEPEDA MOTOR, SCOOTER",PRIBADI,21299,UNIT,2013
44,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI II P.RATU,"SEPEDA MOTOR, SCOOTER",DINAS,466,UNIT,2013
45,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI II P.RATU,"SEPEDA MOTOR, SCOOTER",UMUM,0,UNIT,2013
46,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KABUPATEN CIANJUR,"SEDAN, JEEP, MINIBUS",PRIBADI,1127,UNIT,2013
47,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KABUPATEN CIANJUR,"SEDAN, JEEP, MINIBUS",DINAS,56,UNIT,2013
48,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KABUPATEN CIANJUR,"SEDAN, JEEP, MINIBUS",UMUM,668,UNIT,2013
49,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KABUPATEN CIANJUR,"BUS, MICROBUS",PRIBADI,3,UNIT,2013
50,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KABUPATEN CIANJUR,"BUS, MICROBUS",DINAS,3,UNIT,2013
51,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KABUPATEN CIANJUR,"BUS, MICROBUS",UMUM,68,UNIT,2013
52,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KABUPATEN CIANJUR,"TRUCK, PICK UP",PRIBADI,1744,UNIT,2013
53,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KABUPATEN CIANJUR,"TRUCK, PICK UP",DINAS,18,UNIT,2013
54,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KABUPATEN CIANJUR,"TRUCK, PICK UP",UMUM,66,UNIT,2013
55,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KABUPATEN CIANJUR,ALAT BERAT,PRIBADI,0,UNIT,2013
56,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KABUPATEN CIANJUR,ALAT BERAT,DINAS,0,UNIT,2013
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KABUPATEN CIANJUR,ALAT BERAT,UMUM,0,UNIT,2013
58,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KABUPATEN CIANJUR,"SEPEDA MOTOR, SCOOTER",PRIBADI,38233,UNIT,2013
59,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KABUPATEN CIANJUR,"SEPEDA MOTOR, SCOOTER",DINAS,549,UNIT,2013
60,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KABUPATEN CIANJUR,"SEPEDA MOTOR, SCOOTER",UMUM,0,UNIT,2013
61,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG I RC.EKEK,"SEDAN, JEEP, MINIBUS",PRIBADI,2172,UNIT,2013
62,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG I RC.EKEK,"SEDAN, JEEP, MINIBUS",DINAS,1,UNIT,2013
63,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG I RC.EKEK,"SEDAN, JEEP, MINIBUS",UMUM,347,UNIT,2013
64,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG II SOREANG,"SEDAN, JEEP, MINIBUS",PRIBADI,2006,UNIT,2013
65,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG II SOREANG,"SEDAN, JEEP, MINIBUS",DINAS,78,UNIT,2013
66,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG II SOREANG,"SEDAN, JEEP, MINIBUS",UMUM,330,UNIT,2013
